game,category,game+category,TAS_time(seconds),emulator
N64 Paper Mario,All Cards,N64 Paper Mario - All Cards,9033.83,BizHawk
SegaCD Sonic the Hedgehog Megamix,Any%,SegaCD Sonic the Hedgehog Megamix - Any%,832.91,Gens
Wii GoldenEye: 007,007 Classic difficulty,Wii GoldenEye: 007 - 007 Classic difficulty,6095.67,Dolphin
DS Super Mario 64 DS,Any%,DS Super Mario 64 DS - Any%,492.93,DeSmuME
NES Battletoads & Double Dragon: The Ultimate Team,2 players,NES Battletoads & Double Dragon: The Ultimate Team - 2 players,987.56,FCEUX
Wii Namco Museum Megamix,Pac'n Roll Remix,Wii Namco Museum Megamix - Pac'n Roll Remix,921.02,Dolphin
SNES EarthBound,Any%,SNES EarthBound - Any%,3437.02,BizHawk
NES Mega Man 4 Voyage,Any%,NES Mega Man 4 Voyage - Any%,2386.94,FCEUX
NES Metroid,100%,NES Metroid - 100%,2005.7,FCEUX
SMS Castle of Illusion: Starring Mickey Mouse,Any%,SMS Castle of Illusion: Starring Mickey Mouse - Any%,706.53,BizHawk
SNES Umihara Kawase,Any%,SNES Umihara Kawase - Any%,106.42,snes9x
SMS Sonic the Hedgehog,Max Special Bonus,SMS Sonic the Hedgehog - Max Special Bonus,1227.28,BizHawk
Arcade Metal Slug 4,best ending,Arcade Metal Slug 4 - best ending,1031.97,Final
NES Super C,2 players,NES Super C - 2 players,685.49,FCEUX
DS Castlevania: Dawn of Sorrow,all souls,DS Castlevania: Dawn of Sorrow - all souls,2108.59,DeSmuME
NES Double Dragon II: The Revenge,1 player,NES Double Dragon II: The Revenge - 1 player,557.78,FCEUX
N64 Donkey Kong 64,Any%,N64 Donkey Kong 64 - Any%,1606.83,BizHawk
Wii New Super Mario Bros. Wii,100%,Wii New Super Mario Bros. Wii - 100%,10713.27,Dolphin
NES Zelda II: The Adventure of Link,warp glitch,NES Zelda II: The Adventure of Link - warp glitch,331.89,BizHawk
NES Tetris,fastest 999999,NES Tetris - fastest 999999,191.78,FCEUX
NES Little Samson,warps,NES Little Samson - warps,492.79,FCEUX
Linux Undertale,Genocide ending,Linux Undertale - Genocide ending,3490.93,libTAS
SNES Hagane: The Final Conflict,,SNES Hagane: The Final Conflict - ,,
GB Castlevania II: Belmont's Revenge,Any%,GB Castlevania II: Belmont's Revenge - Any%,1481.18,BizHawk
NES Ninja Gaiden III: The Ancient Ship of Doom,Any%,NES Ninja Gaiden III: The Ancient Ship of Doom - Any%,668.73,FCEUX
NES River City Ransom,2 players,NES River City Ransom - 2 players,356.76,FCEUX
DS Castlevania: Order of Ecclesia,Any%,DS Castlevania: Order of Ecclesia - Any%,2078.32,DeSmuME
Linux Undertale,Genocide ending,Linux Undertale - Genocide ending,3490.93,libTAS
Wii New Super Mario Bros. Wii,100%,Wii New Super Mario Bros. Wii - 100%,10713.27,Dolphin
GC The Legend of Zelda: Twilight Princess,Any%,GC The Legend of Zelda: Twilight Princess - Any%,9886.77,Dolphin
Arcade Marvel vs. Capcom,Any%,Arcade Marvel vs. Capcom - Any%,1537.7,Final
NES Crystalis,Any%,NES Crystalis - Any%,2440.43,FCEUX
GBA Prince of Persia: The Sands of Time,100%,GBA Prince of Persia: The Sands of Time - 100%,4456.72,BizHawk
GB Mega Man IV,Any%,GB Mega Man IV - Any%,2095.45,BizHawk
SMS Land of Illusion: Starring Mickey Mouse,Any%,SMS Land of Illusion: Starring Mickey Mouse - Any%,1368.28,BizHawk
DS Spider-Man: Shattered Dimensions,all items,DS Spider-Man: Shattered Dimensions - all items,2060.91,DeSmuME
PSX Strider 2,Any%,PSX Strider 2 - Any%,518.6,BizHawk
PSX Tomb Raider,Any%,PSX Tomb Raider - Any%,3139.45,BizHawk
Windows Hyper Princess Pitch,Reallyjoel's Mom difficulty best ending,Windows Hyper Princess Pitch - Reallyjoel's Mom difficulty best ending,940.48,Hourglass
SNES Super Punch-Out!!,Any%,SNES Super Punch-Out!! - Any%,952.66,Bizhawk
SNES Donkey Kong Country,all stages walkathon,SNES Donkey Kong Country - all stages walkathon,2469.1,BizHawk
FDS The Legend of Zelda,2nd quest game end glitch,FDS The Legend of Zelda - 2nd quest game end glitch,186.46,FCEUX
NES Super Mario Bros.,warpless walkathon,NES Super Mario Bros. - warpless walkathon,1519.23,FCEUX
PSX Tomb Raider III: Adventures of Lara Croft,Any%,PSX Tomb Raider III: Adventures of Lara Croft - Any%,3651.08,BizHawk
SNES Pocky & Rocky,Any%,SNES Pocky & Rocky - Any%,1120.17,BizHawk
PSX Castlevania: Symphony of the Night,pacifist low level,PSX Castlevania: Symphony of the Night - pacifist low level,1268.62,PSXjin
ZXS Castlevania: Spectral Interlude,100%,ZXS Castlevania: Spectral Interlude - 100%,2073.12,BizHawk
Genesis Sonic 3 & Amy Rose,Any%,Genesis Sonic 3 & Amy Rose - Any%,1767.58,Gens
PSX Crash Bandicoot 2: Cortex Strikes Back,item glitch,PSX Crash Bandicoot 2: Cortex Strikes Back - item glitch,694.85,PCSX
N64 F-Zero X,Jack Cup Time Trial,N64 F-Zero X - Jack Cup Time Trial,429.37,BizHawk
SNES Mega Man X3,100%,SNES Mega Man X3 - 100%,2536.24,BizHawk
GB Super Mario Land 2: 6 Golden Coins,game end glitch,GB Super Mario Land 2: 6 Golden Coins - game end glitch,46.08,BizHawk
NES Mike Tyson's Punch-Out!!,Any%,NES Mike Tyson's Punch-Out!! - Any%,1057.84,BizHawk
GC Super Monkey Ball Adventure,Story Mode,GC Super Monkey Ball Adventure - Story Mode,2619.95,Dolphin
PSX Mega Man X3,all stages,PSX Mega Man X3 - all stages,2082.53,BizHawk
N64 Doom 64,Any%,N64 Doom 64 - Any%,1434.9,BizHawk
Genesis Sonic the Hedgehog,no zips,Genesis Sonic the Hedgehog - no zips,1056.58,Gens
GG Mega Man,Any%,GG Mega Man - Any%,802.83,BizHawk
SNES Metroid Super ZeroMission,101%,SNES Metroid Super ZeroMission - 101%,4770.64,snes9x
NES Castlevania II: Simon's Quest,Any%,NES Castlevania II: Simon's Quest - Any%,1691.12,FCEUX
Arcade Metal Slug 5,Any%,Arcade Metal Slug 5 - Any%,1057.27,Final
NES Super Bat Puncher,Any%,NES Super Bat Puncher - Any%,593.34,BizHawk
PSX Klonoa: Door to Phantomile,Any%,PSX Klonoa: Door to Phantomile - Any%,2109.14,BizHawk
PSX Mega Man X4,Zero,PSX Mega Man X4 - Zero,2190.1,PSXjin
DS Sonic Colors,Any%,DS Sonic Colors - Any%,1597.8,DeSmuME
Windows Rosenkreuzstilette,Spiritia,Windows Rosenkreuzstilette - Spiritia,1681.15,Hourglass
NES Vice: Project Doom,Any%,NES Vice: Project Doom - Any%,726.34,FCEUX
Genesis The Pirates of Dark Water,Any%,Genesis The Pirates of Dark Water - Any%,854.92,Gens
GB Trip World,Any%,GB Trip World - Any%,310.91,VBA
Genesis Golden Axe,Any%,Genesis Golden Axe - Any%,421.95,Gens
PSX Mega Man X6,100%,PSX Mega Man X6 - 100%,3407.18,PCSX
Genesis Contra: Hard Corps,Any%,Genesis Contra: Hard Corps - Any%,841.73,Gens
SNES The Addams Family,all bosses,SNES The Addams Family - all bosses,773.39,BizHawk
NES Bionic Commando,all items,NES Bionic Commando - all items,1167.16,FCEUX
GB Gargoyle's Quest,,GB Gargoyle's Quest - ,,
NES Rockman 4 Minus Infinity,all items,NES Rockman 4 Minus Infinity - all items,2083.72,FCEUX
N64 Mischief Makers,Any%,N64 Mischief Makers - Any%,3304.28,Mupen64
NES Double Dragon,Any%,NES Double Dragon - Any%,530.28,FCEUX
SMS Alex Kidd in Shinobi World,Any%,SMS Alex Kidd in Shinobi World - Any%,327.84,BizHawk
GBC The Legend of Zelda: Oracle of Ages,Any%,GBC The Legend of Zelda: Oracle of Ages - Any%,4844.32,BizHawk
Genesis Streets of Rage 3,Any%,Genesis Streets of Rage 3 - Any%,2292.55,Gens
SNES Mega Man 7,Any%,SNES Mega Man 7 - Any%,2242.25,snes9x
SNES Plok,Any%,SNES Plok - Any%,1578.52,BizHawk
NES Ghosts 'n Goblins,Any%,NES Ghosts 'n Goblins - Any%,484.45,FCEUX
DS Spider-Man: Shattered Dimensions,all items,DS Spider-Man: Shattered Dimensions - all items,2060.91,DeSmuME
DS Ivy the Kiwi?,100%,DS Ivy the Kiwi? - 100%,923.86,DeSmuME
GBA Super Mario Advance 4: Super Mario Bros. 3,e-Reader levels,GBA Super Mario Advance 4: Super Mario Bros. 3 - e-Reader levels,2312.92,BizHawk
DS Super Mario 64 DS,Any%,DS Super Mario 64 DS - Any%,492.93,DeSmuME
GB Mega Man 3,,GB Mega Man 3 - ,,
SegaCD Sonic the Hedgehog CD,Any%,SegaCD Sonic the Hedgehog CD - Any%,1024.27,Gens
GBA Alien Hominid,Any%,GBA Alien Hominid - Any%,912.85,VBA
DS Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,Any%,DS Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!! - Any%,2924.36,DeSmuME
NES Disney's DuckTales,,NES Disney's DuckTales - ,,
GB Kirby's Dream Land,Any%,GB Kirby's Dream Land - Any%,524.65,VBA
NES R.C. Pro-Am,all gold trophies,NES R.C. Pro-Am - all gold trophies,2346.22,FCEUX
GBA Gunstar Super Heroes,Any%,GBA Gunstar Super Heroes - Any%,1112.22,VBA
NES Mega Man 6,Any%,NES Mega Man 6 - Any%,1809.7,FCEUX
GBA Metal Slug Advance,100%,GBA Metal Slug Advance - 100%,2330.38,VBA
NES Power Blade,Any%,NES Power Blade - Any%,834.01,BizHawk
GBA Mega Man Zero 3,100%,GBA Mega Man Zero 3 - 100%,3767.71,VBA
GBA Shaman King: Master of Spirits,,GBA Shaman King: Master of Spirits - ,,
Genesis Ranger X,Any%,Genesis Ranger X - Any%,572.5,Gens
SNES Secret of Mana,game end glitch,SNES Secret of Mana - game end glitch,495.5,BizHawk
Genesis Alien Soldier,Any%,Genesis Alien Soldier - Any%,1112.27,Gens
SNES Plok,Any%,SNES Plok - Any%,1578.52,BizHawk
Wii The Conduit,Any%,Wii The Conduit - Any%,2746.7,Dolphin
GBA Prince of Persia: The Sands of Time,100%,GBA Prince of Persia: The Sands of Time - 100%,4456.72,BizHawk
DS Super Monkey Ball: Touch & Roll,Challenge Mode,DS Super Monkey Ball: Touch & Roll - Challenge Mode,1579.51,DeSmuME
DS Super Scribblenauts,playaround,DS Super Scribblenauts - playaround,3712.63,DeSmuME
NES Dragon Warrior II,Any%,NES Dragon Warrior II - Any%,2672.5,FCEUX
SNES Biker Mice from Mars,final round,SNES Biker Mice from Mars - final round,312.62,snes9x
NES The Battle of Olympus,Any%,NES The Battle of Olympus - Any%,595.37,FCEUX
NES Darkwing Duck,pacifist no subweapons,NES Darkwing Duck - pacifist no subweapons,755.66,FCEUX
SNES Umihara Kawase,Any%,SNES Umihara Kawase - Any%,106.42,snes9x
GB Super Mario Land,hard mode,GB Super Mario Land - hard mode,734.77,VBA
SNES Mega Man X3,100%,SNES Mega Man X3 - 100%,2536.24,BizHawk
SNES Donkey Kong Country 3: Dixie Kong's Double Trouble!,105%,SNES Donkey Kong Country 3: Dixie Kong's Double Trouble! - 105%,6099.8,snes9x
GBA Spider-Man 3,Any%,GBA Spider-Man 3 - Any%,824.01,BizHawk
Genesis The Revenge of Shinobi,Any%,Genesis The Revenge of Shinobi - Any%,718.93,BizHawk
PSX Suikoden II,best ending,PSX Suikoden II - best ending,24517.71,BizHawk
NES The Blues Brothers,Any%,NES The Blues Brothers - Any%,219.77,FCEUX
PSX Metal Gear Solid: VR Missions,Any%,PSX Metal Gear Solid: VR Missions - Any%,5809.18,BizHawk
GC Crazy Taxi,Any%,GC Crazy Taxi - Any%,362.76,Dolphin
PSX Crash Bandicoot,Any%,PSX Crash Bandicoot - Any%,2179.85,PSXjin
GB Contra: The Alien Wars,pacifist,GB Contra: The Alien Wars - pacifist,471.44,BizHawk
SNES Soul Blazer,Any%,SNES Soul Blazer - Any%,5373.72,BizHawk
GC Tony Hawk's Pro Skater 3,All Goals and Golds,GC Tony Hawk's Pro Skater 3 - All Goals and Golds,517.63,Dolphin
DS Mario & Luigi: Partners in Time,Any%,DS Mario & Luigi: Partners in Time - Any%,6776.29,DeSmuME
GBA Metal Slug Advance,100%,GBA Metal Slug Advance - 100%,2330.38,VBA
GBA Sonic Advance,Amy,GBA Sonic Advance - Amy,925.8,VBA
Genesis Aero the Acro-Bat 2,Any%,Genesis Aero the Acro-Bat 2 - Any%,1390.64,BizHawk
Genesis Batman,Any%,Genesis Batman - Any%,641.88,BizHawk
DS Newer Super Mario Bros. DS,100%,DS Newer Super Mario Bros. DS - 100%,8140.51,DeSmuME
PSX Mega Man X4,Zero,PSX Mega Man X4 - Zero,2190.1,PSXjin
NES Super Turrican,Any%,NES Super Turrican - Any%,516.39,FCEUX
Uzebox Bugz,2 players,Uzebox Bugz - 2 players,162.14,BizHawk
GBA Sonic Advance,Amy,GBA Sonic Advance - Amy,925.8,VBA
NES Zelda II: The Adventure of Link,warp glitch,NES Zelda II: The Adventure of Link - warp glitch,331.89,BizHawk
VBoy Virtual Boy Wario Land,Any%,VBoy Virtual Boy Wario Land - Any%,1047.33,BizHawk
SNES Super Mario RPG: Legend of the Seven Stars,100%,SNES Super Mario RPG: Legend of the Seven Stars - 100%,12802.13,BizHawk
GBA Metroid Fusion,Any%,GBA Metroid Fusion - Any%,4339.31,BizHawk
Arcade Osman,maximum score deathless,Arcade Osman - maximum score deathless,573.18,Final
GBA Sonic Advance 2,Any%,GBA Sonic Advance 2 - Any%,1061.1,VBA
NES Bonk's Adventure,Any%,NES Bonk's Adventure - Any%,1027.96,BizHawk
DS Kirby: Canvas Curse,Any%,DS Kirby: Canvas Curse - Any%,1545.53,DeSmuME
PSX Vandal Hearts,Any%,PSX Vandal Hearts - Any%,15751.46,BizHawk
NES M.C. Kids,all levels,NES M.C. Kids - all levels,1466.29,FCEUX
Genesis Shinobi III: Return of the Ninja Master,Any%,Genesis Shinobi III: Return of the Ninja Master - Any%,1301.59,BizHawk
GBA Castlevania: Circle of the Moon,warp glitch,GBA Castlevania: Circle of the Moon - warp glitch,319.25,VBA
Genesis The Lion King,Any%,Genesis The Lion King - Any%,689.94,BizHawk
Genesis Quackshot: Starring Donald Duck,Any%,Genesis Quackshot: Starring Donald Duck - Any%,1161.63,BizHawk
Genesis Ultimate Mortal Kombat 3,playaround,Genesis Ultimate Mortal Kombat 3 - playaround,1595.58,Gens
GBA Sonic Advance,Amy,GBA Sonic Advance - Amy,925.8,VBA
GBA DK: King of Swing,200%+,GBA DK: King of Swing - 200%+,4568.11,BizHawk
SNES Donkey Kong Country 3: Dixie Kong's Double Trouble!,105%,SNES Donkey Kong Country 3: Dixie Kong's Double Trouble! - 105%,6099.8,snes9x
GBA Castlevania: Harmony of Dissonance,Simon Hard Boss Rush,GBA Castlevania: Harmony of Dissonance - Simon Hard Boss Rush,471.27,VBA
GBA Mario vs. Donkey Kong,Any%,GBA Mario vs. Donkey Kong - Any%,2243.32,BizHawk
Saturn Castlevania: Symphony of the Night,Maria mode,Saturn Castlevania: Symphony of the Night - Maria mode,409.47,BizHawk
GBA Sonic Advance 3,100%,GBA Sonic Advance 3 - 100%,4071.89,VBA
Genesis Vectorman 2,Any%,Genesis Vectorman 2 - Any%,515.58,Gens
NES Disney's DuckTales 2,,NES Disney's DuckTales 2 - ,,
Windows Rosenkreuzstilette,Spiritia,Windows Rosenkreuzstilette - Spiritia,1681.15,Hourglass
Genesis Sonic 3 & Knuckles,Knuckles,Genesis Sonic 3 & Knuckles - Knuckles,1327.68,Gens
"NES Super Mario Bros."""" SMB 2"""" The Lost Levels & SMB 3",,"NES Super Mario Bros."""" SMB 2"""" The Lost Levels & SMB 3 - ",,
NES A Nightmare on Elm Street,4 Players,NES A Nightmare on Elm Street - 4 Players,885.21,BizHawk
PSX Mega Man X5,Any%,PSX Mega Man X5 - Any%,998.18,PCSX
DS Contra 4,all levels,DS Contra 4 - all levels,3675.52,DeSmuME
SNES Super Mario World: The Second Reality Project Reloaded,Any%,SNES Super Mario World: The Second Reality Project Reloaded - Any%,2065.93,snes9x
NES Who Framed Roger Rabbit,Any%,NES Who Framed Roger Rabbit - Any%,228.11,FCEUX
PSX Castlevania Chronicles,Any%,PSX Castlevania Chronicles - Any%,1556.02,BizHawk
NES Kabuki Quantum Fighter,Any%,NES Kabuki Quantum Fighter - Any%,554.19,FCEUX
SNES Star Fox 2,Any%,SNES Star Fox 2 - Any%,1328.42,snes9x
Genesis Dynamite Headdy,Any%,Genesis Dynamite Headdy - Any%,1959.59,BizHawk
SNES Zombies Ate My Neighbors,all victims saved,SNES Zombies Ate My Neighbors - all victims saved,2578.9,BizHawk
NES Zoda's Revenge: StarTropics II,Any%,NES Zoda's Revenge: StarTropics II - Any%,3276.92,BizHawk
PSX Spyro 2: Ripto's Rage!,Any%,PSX Spyro 2: Ripto's Rage! - Any%,452.47,PSXjin
SNES Prehistorik Man,Any%,SNES Prehistorik Man - Any%,1120.75,BizHawk
NES Castlevania III: Dracula's Curse,Trevor Sunken City path,NES Castlevania III: Dracula's Curse - Trevor Sunken City path,1819.64,BizHawk
DS Newer Super Mario Bros. DS,100%,DS Newer Super Mario Bros. DS - 100%,8140.51,DeSmuME
Genesis Sunset Riders,2 players,Genesis Sunset Riders - 2 players,594.41,Gens
SNES Castlevania: Dracula X,best ending,SNES Castlevania: Dracula X - best ending,836.12,snes9x
DS Castlevania: Dawn of Sorrow,all souls,DS Castlevania: Dawn of Sorrow - all souls,2108.59,DeSmuME
SNES The Addams Family,all bosses,SNES The Addams Family - all bosses,773.39,BizHawk
SNES Super Star Wars: Return of the Jedi,Any%,SNES Super Star Wars: Return of the Jedi - Any%,1397.12,lsnes
NES Moai-kun,Any%,NES Moai-kun - Any%,776.44,FCEUX
Genesis Cadash,2 players,Genesis Cadash - 2 players,934.65,BizHawk
SNES Super Metroid,Any%,SNES Super Metroid - Any%,2158.31,lsnes
Genesis Sonic Spinball,Any%,Genesis Sonic Spinball - Any%,319.86,BizHawk
GB Pokémon: Blue and Red Version,Coop Diploma,GB Pokémon: Blue and Red Version - Coop Diploma,13684.1,BizHawk
PSX Mega Man X5,Any%,PSX Mega Man X5 - Any%,998.18,PCSX
SNES Final Fantasy IV,Any%,SNES Final Fantasy IV - Any%,10394.37,snes9x
NES Moon Crystal,Any%,NES Moon Crystal - Any%,499.05,FCEUX
NES The Goonies II,Any%,NES The Goonies II - Any%,653.64,FCEUX
DS Mega Man ZX Advent,Any%,DS Mega Man ZX Advent - Any%,4766.35,DeSmuME
Genesis Sonic Spinball,Any%,Genesis Sonic Spinball - Any%,319.86,BizHawk
GBA Pokémon: FireRed Version,Any%,GBA Pokémon: FireRed Version - Any%,6257.34,VBA
PCE Gomola Speed,Any%,PCE Gomola Speed - Any%,765.34,BizHawk
GB Mega Man: Dr. Wily's Revenge,Any%,GB Mega Man: Dr. Wily's Revenge - Any%,1016.99,lsnes
GBA Super Mario Advance,Any%,GBA Super Mario Advance - Any%,420.58,VBA
GBA The SpongeBob SquarePants Movie,Any%,GBA The SpongeBob SquarePants Movie - Any%,1698.78,VBA
Genesis Splatterhouse 2,Any%,Genesis Splatterhouse 2 - Any%,862.24,BizHawk
SMS Golden Axe Warrior,Any%,SMS Golden Axe Warrior - Any%,1849.1,BizHawk
Genesis Sparkster,100%,Genesis Sparkster - 100%,1629.55,Gens
NES Werewolf: The Last Warrior,Any%,NES Werewolf: The Last Warrior - Any%,539.58,FCEUX
DOS Jazz Jackrabbit,Any%,DOS Jazz Jackrabbit - Any%,1601.92,JPC-RR
GBA Kuru Kuru Kururin,Any%,GBA Kuru Kuru Kururin - Any%,371.59,BizHawk
DS Castlevania: Portrait of Ruin,Richter mode,DS Castlevania: Portrait of Ruin - Richter mode,1017.28,DeSmuME
N64 Super Mario 64: The Green Stars,all 130 stars,N64 Super Mario 64: The Green Stars - all 130 stars,5616.25,Mupen64
Genesis Ecco: The Tides of Time,Any%,Genesis Ecco: The Tides of Time - Any%,2135.2,BizHawk
N64 The Legend of Zelda: Majora's Mask,low%,N64 The Legend of Zelda: Majora's Mask - low%,7141.88,BizHawk
NES Battle Kid 2: Mountain of Torment,100%,NES Battle Kid 2: Mountain of Torment - 100%,2758.69,BizHawk
GBA Fire Emblem,Any%,GBA Fire Emblem - Any%,5102.9,VBA
GBA Mega Man Zero 3,100%,GBA Mega Man Zero 3 - 100%,3767.71,VBA
GBA Sonic Advance 3,100%,GBA Sonic Advance 3 - 100%,4071.89,VBA
SNES Skyblazer,Any%,SNES Skyblazer - Any%,1467.02,snes9x
GB Wario Land: Super Mario Land 3,Any%,GB Wario Land: Super Mario Land 3 - Any%,1183.51,BizHawk
NES Kirby's Adventure,game end glitch,NES Kirby's Adventure - game end glitch,35.76,FCEUX
NES Conquest of the Crystal Palace,Any%,NES Conquest of the Crystal Palace - Any%,641.43,BizHawk
GBC Pokémon: Crystal Version,Any%,GBC Pokémon: Crystal Version - Any%,10116.03,BizHawk
SNES Battletoads in Battlemaniacs,best ending,SNES Battletoads in Battlemaniacs - best ending,1099.75,snes9x
NES Kaizo Mario Bros. 3,Any%,NES Kaizo Mario Bros. 3 - Any%,882.71,FCEUX
Arcade Marvel Super Heroes vs. Street Fighter,Any%,Arcade Marvel Super Heroes vs. Street Fighter - Any%,1265.05,Final
SNES Mortal Kombat 3,playaround,SNES Mortal Kombat 3 - playaround,1374.22,snes9x
NES Metal Gear,Any%,NES Metal Gear - Any%,1344.55,FCEUX
SNES Super Mario RPG: Legend of the Seven Stars,100%,SNES Super Mario RPG: Legend of the Seven Stars - 100%,12802.13,BizHawk
N64 Bomberman 64,100%,N64 Bomberman 64 - 100%,3696.02,Mupen64
PCE Bonk's Adventure,Any%,PCE Bonk's Adventure - Any%,1284.54,BizHawk
Arcade The Simpsons,Any%,Arcade The Simpsons - Any%,817.73,Final
Genesis Phantasy Star IV,macro glitch,Genesis Phantasy Star IV - macro glitch,1233.04,BizHawk
NES Battle City,Any%,NES Battle City - Any%,780.35,FCEUX
GC NFL Street,NFL Challenge,GC NFL Street - NFL Challenge,4460.35,Dolphin
NES Journey to Silius,Any%,NES Journey to Silius - Any%,529.86,FCEUX
SNES Mickey no Tokyo Disneyland Daibouken,Any%,SNES Mickey no Tokyo Disneyland Daibouken - Any%,1235.46,BizHawk
SMS Alex Kidd in Miracle World,Any%,SMS Alex Kidd in Miracle World - Any%,591.29,BizHawk
NES Donkey Kong,Any%,NES Donkey Kong - Any%,68.67,FCEUX
Genesis Jewel Master,Any%,Genesis Jewel Master - Any%,554.73,BizHawk
DOOM The Ultimate Doom,Episode 3,DOOM The Ultimate Doom - Episode 3,196.38,DooM
SNES Donkey Kong Country 2: Unveiled,,SNES Donkey Kong Country 2: Unveiled - ,,
N64 Kirby 64: The Crystal Shards,all shards,N64 Kirby 64: The Crystal Shards - all shards,3975.62,Mupen64
DS Metal Slug 7,Any%,DS Metal Slug 7 - Any%,1209.56,DeSmuME
DOOM Final Doom,The Plutonia Experiment,DOOM Final Doom - The Plutonia Experiment,773.28,DooM
PSX Wild Arms,Any%,PSX Wild Arms - Any%,4052.68,BizHawk
N64 Star Wars Episode I: Racer,,N64 Star Wars Episode I: Racer - ,,
SNES Disney's Goof Troop,,SNES Disney's Goof Troop - ,,
GBC Bomberman Quest,game end glitch,GBC Bomberman Quest - game end glitch,395.66,BizHawk
GC Resident Evil 4,The Mercenaries: Castle,GC Resident Evil 4 - The Mercenaries: Castle,824.33,Dolphin
Windows MegaMari: Marisa no Yabou,Any%,Windows MegaMari: Marisa no Yabou - Any%,1969.12,Hourglass
NES Rockman: Spirits of Hackers,Any%,NES Rockman: Spirits of Hackers - Any%,1796.87,FCEUX
SNES Super Mario All-Stars: Super Mario Bros. 3,playaround,SNES Super Mario All-Stars: Super Mario Bros. 3 - playaround,4006.28,snes9x
NES Double Dragon II: The Revenge,1 player,NES Double Dragon II: The Revenge - 1 player,557.78,FCEUX
SNES F-Zero,Queen League,SNES F-Zero - Queen League,687.87,lsnes
SNES Run Saber,Any%,SNES Run Saber - Any%,785.27,BizHawk
